jugador,id,equipo
Tchouaméni,28344,Real Madrid
Valverde,22396,Real Madrid
Rodrygo,25618,Real Madrid
Vinícius,20660,Real Madrid
Rüdiger,93402,Real Madrid
Kroos,92802,Real Madrid
Modrić,18002,Real Madrid
Joselu,9301,Real Madrid
Cañizares,27989,Real Madrid
Odriozola,202439,Real Sociedad
Fran González,13507,Real Madrid
Lucas Vázquez,101266,Real Madrid
Nacho,200113,Real Madrid
Brahim Díaz,25251,Real Madrid
Iván Villar,102347,Celta de Vigo
Mingueza,20977,Celta de Vigo
Aidoo,25612,Celta de Vigo
Nuñez,22336,Celta de Vigo
Sotelo,12820,Celta de Vigo
Cervi,29002,Celta de Vigo
Fran Beltrán,20079,Celta de Vigo
Bamba,82309,Celta de Vigo
Iago Aspas,6326,Celta de Vigo
Carles Pérez,23230,Celta de Vigo
Strand Larsen,28810,Celta de Vigo
Manu Sánchez,22773,Celta de Vigo
De la Torre,20482,Celta de Vigo
Miguel,27601,Celta de Vigo
Swedberg,45101,Celta de Vigo
Veiga,26424,Celta de Vigo
Coke,23599,Celta de Vigo
Starfelt,48736,Celta de Vigo
Kevin Vázquez,100426,Celta de Vigo
Domínguez,43007,Celta de Vigo
Tapia,78168,Celta de Vigo
Dotor,26870,Celta de Vigo
Paciência,70504,Celta de Vigo
Catena,22401,Osasuna
David García,201018,Osasuna
Mojica,15239,Osasuna
Moi Gómez,8678,Osasuna
Aimar,23928,Osasuna
Moncayola,22606,Osasuna
Torró,8752,Osasuna
Rubén García,301767,Osasuna
Rubén Peña,18046,Osasuna
Budimir,27214,Osasuna
Arnaiz,21154,Osasuna
Iker Muñoz,27496,Osasuna
Areso,22545,Osasuna
Ibáñez,43090,Osasuna
Chimy Ávila,21481,Betis
Aitor Fernández,201045,Osasuna
Valencia,26774,Osasuna
Nacho Vidal,302292,Mallorca
Juan Cruz,86177,Osasuna
Unai García,201317,Osasuna
Herrando,22669,Osasuna
Javi Martínez,21427,Osasuna
Jörgensen,43154,Villarreal
Foyth,25374,Villarreal
Mandi,82607,Villarreal
Cuenca,24508,Villarreal
Alberto Moreno,7010,Villarreal
Álex Baena,304049,Villarreal
Terrats,15143,Villarreal
Parejo,6164,Villarreal
Comesaña,21187,Villarreal
Gerard Moreno,8675,Villarreal
Sørloth,28332,Villarreal
Pedraza,23095,Villarreal
Capoue,91017,Villarreal
Denis Suárez,100420,Villarreal
Morales,301763,Villarreal
Reina,1504,Villarreal
Gabbia,27404,Villarreal
Albiol,2290,Villarreal
Kiko Femenía,6268,Villarreal
Manu Trigueros,200072,Villarreal
Brereton,11154,Villarreal
Rui Silva,70320,Betis
Sabaly,82702,Betis
Luiz Felipe,27431,Betis
Pezzella,20033,Betis
Abner,30360,Betis
Isco,300520,Betis
Marc Roca,23013,Betis
Guido Rodríguez,27658,Betis
Luiz Henrique,30140,Betis
Ayoze Pérez,101804,Betis
Borja Iglesias,102337,Betis
Paul,22843,Betis
Ruibal,23106,Betis
Willian José,15205,Betis
Guardado,4149,Betis
Rodri,303958,Betis
Fran Vieites,21632,Betis
