match_id,fecha,jornada,competicion,equipo_local,equipo_visitante,resultado,goles_local,goles_visitante,estadio,arbitro,manager_local,manager_visitante,res_local,res_visitante,titulares_local_ids,suplentes_local_ids,titulares_visitante_ids,suplentes_visitante_ids,goleadores_local_ids,goles_local_count,goleadores_visitante_ids,goles_visitante_count,cantidad_tarjetas_amarillas_local,id_jugadores_local_amarilla,cantidad_tarjetas_amarillas_visita,id_jugadores_visitante_amarilla,cantidad_tarjetas_rojas_local,id_jugadores_local_roja,cantidad_tarjetas_rojas_visita,id_jugadores_visitante_roja,Cuota 1,Cuota X,Cuota 2
30870,2022-08-19,Round 2,First Division,Espanyol,Rayo Vallecano,0-2,0,2,RCDE Stadium  (Cornella de Llobregat),Figueroa Vázquez,Diego Martínez,Iraola,0,2,"82651,27951,23525,300366,12498,21032,23627,30024,28184,15228,9301","110613,23319,28136,21352,106528,26712,26739,26538,304041,43113","402399,3793,22401,13748,28183,26734,202401,2121,21120,402020,21812","21514,1914,21649,401011,13729,22568,84014,13378,95465,20188,20687",0,0.0,"21120,26734",2.0,2.0,"23525,21032",4.0,"402399,13748,2121,21514",1.0,300366,1.0,13748,2.55,3.03,3.05
30871,2022-08-19,Round 2,First Division,Sevilla,Valladolid,1-1,1,1,Sánchez-Pizjuán (Sevilla),Pulido Santana,Lopetegui,Pacheta,1,1,"101861,404684,25763,95741,29160,301804,19973,84013,97612,97738,23132","27076,300520,8548,82287,20092,26241,27655,16773,20128,1251,12372,29165","4062,24053,29328,22258,9392,24419,24297,200585,401040,21024,401141","21222,402016,12518,101009,22619,200847,21033,200661,82903,300050,13192,402473",95741,1.0,21024,1.0,3.0,"404684,300520,82287",2.0,"24053,21222",1.0,29160,1.0,29328,1.51,4.1,6.68
30872,2022-08-20,Round 2,First Division,Osasuna,Cádiz,2-0,2,0,Estadio El Sadar  (Pamplona (Iruñea),Mateu Lahoz,Arrasate,Sergio,2,0,"201971,18046,201317,201018,86177,23928,22606,8752,8678,21481,27214","302292,20098,300174,9395,301767,19024,21427,201045,43090,22773,20120,100312","28767,201044,23943,301762,200433,23739,12945,29214,26509,12511,8750","12944,4027,400345,102234,22082,6288,101852,22631,6253,23598,110361","21481,9395",2.0,0,0.0,2.0,"8752,21481",4.0,"23943,12945,8750,22082",0.0,0,1.0,12945,3.093432835820896,3.774585253456221,6.852499999999999
30873,2022-08-20,Round 2,First Division,Mallorca,Betis,1-2,1,2,Visit Mallorca Estadi  (Palma de Mallorca),González Fuertes,Aguirre,Pellegrini,1,2,"25705,301806,24644,20741,401446,12615,70347,100293,82249,23558,28512","8533,20889,301113,23373,24649,11677,23151,13266,5533,13279,29575,23528","70320,23106,23105,20033,301828,82254,27658,70061,12409,303958,102337","24095,24656,22843,28786,21125,21475",28512,1.0,"102337,102337",2.0,7.0,"301806,20741,401446,12615,70347,100293,82249",9.0,"70320,20033,82254,23675,27658,70061,12409,24095,24656",0.0,0,0.0,0,3.27,3.14,2.33
30874,2022-08-20,Round 2,First Division,Celta de Vigo,Real Madrid,1-4,1,4,Abanca-Balaídos  (Vigo),Gil Manzano,Coudet,Ancelotti,1,4,"25572,12600,25612,22336,20173,20079,25297,29002,78168,70504,6326","20482,26424,23230,12214,102347,27601,43007,45101,43011,22803,100426,20977","13727,101005,20583,93161,22869,28266,28344,22396,18002,20660,12426","101266,93402,15261,16806,95685,19004,26682,200113,301239,20659",6326,1.0,"12426,18002,20660,22396",4.0,2.0,"12600,78168",2.0,"101005,93161",0.0,0,0.0,0,4.98,4.11,1.64
30875,2022-08-21,Round 2,First Division,Athletic Club,Valencia,1-0,1,0,San Mamés  (Bilbao),Soto Grado,Valverde,Gattuso,1,0,"22117,9277,22519,202395,12460,12441,20793,16832,43075,19025,202397","20795,2294,20792,20797,201266,20796,22335,22447,22162,300444,20178,202398","12935,22681,28075,15211,26925,26778,23146,23542,24700,25825,18155","15258,22451,302283,23912,20265,301736,24250,23811,43144,24581,13178,20818",19025,1.0,0,0.0,5.0,"22117,22519,202395,12460,12441",2.0,"28075,26778",0.0,0,0.0,0,5.31,3.69,1.69
30876,2022-08-21,Round 2,First Division,Atlético de Madrid,Villarreal,0-2,0,2,Estádio Cívitas Metropolitano  (Madrid),De Burgos Bengoetxea,Simeone,Emery,0,2,"18149,29588,70839,95524,20525,22037,82564,82276,12503,20535,8571","15204,18142,12581,20299,20017,29006,20150,19830,18027,25431,101062","18174,25374,23355,2290,23095,28150,6164,91017,15097,8675,15094","95573,304049,24868,301763,24508,18392,1504,23365,6268,82607",0,0.0,"15094,8675",2.0,2.0,"20535,15204",3.0,"6164,8675,304049",1.0,29588,0.0,0,1.87,3.39,4.48
30877,2022-08-21,Round 2,First Division,Real Sociedad,Barcelona,1-4,1,4,Reale Arena  (Donostia-San Sebastián),Munuera Montero,Imanol,Xavi,1,4,"201983,202438,22240,22404,22578,22483,19027,21041,537,26515,26262","22358,43069,206629,28737,26732,25964,23755,15074,22429,12582,22759,22314","93292,304055,21908,84094,20068,11269,25651,78218,23403,84451,93207","70294,300367,82206,9333,23758,944,43083,97737,24589,22923,25004,98023",26262,1.0,"93207,84451,93207,23758",4.0,2.0,"202438,22404",1.0,21908,0.0,0,0.0,0,3.67,3.43,2.03
30878,2022-08-22,Round 2,First Division,Elche,Almería,1-1,1,1,Estadio Manuel Martínez Valero  (Elche),Díaz de Mera,Francisco,Rubi,1,1,"300473,23015,301062,18171,15239,25422,16308,101267,23370,27077,300529","25227,402377,301250,27250,97478,13295,20249,29916,402078,301796,19003","400349,40009,32898,22194,85055,20049,27821,19074,201285,26997,27094","101283,22608,70364,12415,23442,23445,22175,26855,402092,27659",25422,1.0,27094,1.0,1.0,16308,4.0,"32898,20049,201285,101283",0.0,0,1.0,23445,2.37,3.21,3.03
30879,2022-08-22,Round 2,First Division,Girona,Getafe,3-1,3,1,Estadi Municipal de Montilivi  (Girona),Muñiz Ruiz,Míchel,Quique,3,1,"101023,19835,24523,300554,9371,304051,22846,302245,23741,1010860,12663","24664,200119,27971,15143,15099,6287,12965,20948,41632,13384,12962","402491,29122,19021,15246,21199,45278,23198,84474,20254,22115,20260","300527,22333,22699,43258,1014877,4123,101289,28999,110319,45279,21608,41998","12663,1010860",2.0,20260,1.0,2.0,"9371,1010860",6.0,"19021,15246,45278,23198,22115,20260",0.0,0,1.0,45278,2.34,2.87,3.67
